Table Name,Column Name,Column Type,Is Nullable,Column Key,Extra,Default_Value,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME,Max_Length,NUMERIC_PRECISION,NUMERIC_SCALE,context_for_ai
Dim_Date,Billing_Day_of_Week,tinyint,NO,,,,,,,3.0,0.0,"The Billing_Day_of_Week column in the Dim_Date table represents the numeric day of the week (likely 1-7) for each calendar date, specifically used for billing-related queries and analysis. This non-nullable tinyint column enables filtering and grouping of transactions by day of week, making it particularly useful for identifying billing patterns or scheduling trends across different weekdays."
Dim_Date,Day_of_Week_in_Month,tinyint,NO,,,,,,,3.0,0.0,"The Day_of_Week_in_Month column represents the occurrence number of a particular weekday within its month (e.g., 1 for the first Monday, 2 for the second Monday, etc.), stored as a tinyint value. This column is useful for queries that need to identify specific weekday instances within months, such as finding events that occur on ""the third Thursday"" of each month."
Dim_Date,Day_of_Week_in_Year,tinyint,NO,,,,,,,3.0,0.0,"The Day_of_Week_in_Year column in Dim_Date represents the sequential occurrence of a specific weekday within a calendar year (e.g., the 1st Monday, 2nd Monday, etc.), stored as a small integer value. This column is useful for analyzing patterns or trends based on specific weekday occurrences throughout the year, such as identifying sales performance on the first Monday of each year or tracking events that occur on specific weekday instances."
Dim_Date,Day_of_Week_in_Quarter,tinyint,NO,,,,,,,3.0,0.0,"The Day_of_Week_in_Quarter column in Dim_Date represents the sequential occurrence of a specific weekday within its respective quarter (e.g., 1st Monday of Q1, 2nd Monday of Q1, etc.), stored as a small integer value. This column is useful for analyzing patterns or trends based on specific weekday occurrences within quarters, such as identifying sales performance on the first Monday of each quarter or tracking events that occur on specific weekday instances within quarterly periods."
Dim_Date,Day_of_Quarter,tinyint,NO,,,,,,,3.0,0.0,"The Day_of_Quarter column in Dim_Date represents the sequential day number within each quarter, ranging from 1 to 90/91/92 depending on the quarter. This non-nullable tinyint column is useful for analyzing patterns within quarters and can be used to filter or group data for quarter-based analysis (e.g., ""SELECT * FROM fact_table WHERE dim_date.day_of_quarter <= 30"" to analyze the first month of each quarter)."
Dim_Date,Day_of_Year,smallint,NO,,,,,,,5.0,0.0,"The Day_of_Year column in Dim_Date represents the numerical day within a calendar year, ranging from 1 to 366 (accounting for leap years). This non-nullable smallint column is commonly used in SQL queries for date-based calculations and filtering, particularly when analyzing seasonal patterns or comparing data points across different years at the same yearly position."
Dim_Date,ISO_Standard_Week,tinyint,NO,,,,,,,3.0,0.0,"The ISO_Standard_Week column in Dim_Date represents the week number according to the ISO-8601 standard, ranging from 1 to 53, where week 1 is the first week containing a Thursday in the year. This column is commonly used for consistent week-based analysis and reporting across international organizations, and can be particularly useful when grouping or filtering data by standard week periods."
Dim_Date,ISO_Standard_Year,smallint,NO,,,,,,,5.0,0.0,"The ISO_Standard_Year column in Dim_Date represents the year according to the ISO calendar standard, stored as a small integer value (e.g., 2023). This non-nullable column is commonly used for grouping and filtering date-based data by year, particularly when consistency with international date standards is required."
Dim_Date,Billing_Week,tinyint,NO,,,,,,,3.0,0.0,"The Billing_Week column in Dim_Date represents the week number within a billing cycle, stored as a tinyint value that cannot be null. This column can be used to group or filter transactions by billing week, making it useful for weekly financial reporting and billing cycle analysis."
Dim_Date,Month_Name_fr,varchar(9),NO,,,,,,9.0,,,"The Month_Name_fr column in the Dim_Date table stores the French language name of each month (e.g., 'Janvier', 'Février', etc.) as a character string up to 9 characters long. This column is useful for displaying month names in French language reports and interfaces, and can be used in GROUP BY clauses or WHERE conditions when French month name filtering is needed."
Dim_Date,Month_Name_en,varchar(9),NO,,,,,,9.0,,,"The Month_Name_en column in the Dim_Date table stores the full English name of each month (e.g., ""January"", ""February"") as a character string up to 9 characters long. This column is commonly used for displaying month names in reports or filtering date-based data by month name, and since it's non-nullable, every row in the dimension table will have a valid month name value."
Dim_Date,First_Date_of_Week,date,NO,,,,,,,,,"The First_Date_of_Week column in Dim_Date contains the date corresponding to the first day (typically Sunday or Monday) of the week for each date record in the dimension table. This column is commonly used in SQL queries for week-based grouping and analysis, allowing you to easily aggregate or filter data by week periods by joining with fact tables and using this column as a reference point."
Dim_Date,Last_Date_of_Week,date,NO,,,,,,,,,"The Last_Date_of_Week column in Dim_Date contains the date representing the last day (typically Saturday or Sunday) of the week for each calendar date record. When writing SQL queries, this column is particularly useful for week-ending calculations and reporting, allowing you to easily group or filter data based on weekly boundaries."
Dim_Date,Billing_First_Date_of_Week,date,NO,,,,,,,,,"The Billing_First_Date_of_Week column in Dim_Date represents the first day (typically Monday) of the billing week that contains each calendar date. This column is commonly used in SQL queries to group or filter transactions by billing weeks, enabling consistent week-based financial analysis and reporting."
Dim_Date,Billing_Last_Date_of_Week,date,NO,,,,,,,,,"The Billing_Last_Date_of_Week column in Dim_Date represents the last calendar date of each billing week, making it useful for week-ending calculations and billing period analysis. This non-nullable date column can be used to group or filter transactions by their billing week end dates, commonly used in queries that need to aggregate financial or billing data on a weekly basis."
Dim_Date,First_Date_of_Month,date,NO,,,,,,,,,"The First_Date_of_Month column in Dim_Date contains the first calendar date of each month (e.g., 2023-01-01, 2023-02-01) and is commonly used for month-level grouping and filtering operations. This column is particularly useful when you need to aggregate data to a monthly level or want to compare metrics across different months, and can be referenced in SQL queries using date functions or direct comparisons."
Dim_Date,Last_Date_of_Month,date,NO,,,,,,,,,"The Last_Date_of_Month column in Dim_Date contains the final calendar date of each month (e.g., January 31, February 28/29, March 31) represented in the date dimension. This column is particularly useful for end-of-month calculations and reporting, allowing queries to easily identify or filter for month-end dates without using complex date functions."
Dim_Date,First_Date_of_Quarter,date,NO,,,,,,,,,"The First_Date_of_Quarter column in Dim_Date contains the first calendar date of each quarter (e.g., January 1, April 1, July 1, October 1) corresponding to each date record in the table. This column is useful for grouping or filtering data by quarters, and can be used in SQL queries to align data with quarterly business reporting periods or to perform quarter-start-based calculations."
Dim_Date,Last_Date_of_Quarter,date,NO,,,,,,,,,"The Last_Date_of_Quarter column in Dim_Date contains the final calendar date of each quarter (e.g., March 31, June 30, September 30, December 31) for the corresponding date record. This column is useful for quarter-end reporting and analysis, allowing queries to easily identify or filter for quarter-end dates or compare metrics against quarter-end values."
Dim_Date,First_Date_of_Year,date,NO,,,,,,,,,"The First_Date_of_Year column in Dim_Date contains the January 1st date for whatever year the current row's date belongs to, making it useful for year-level grouping and comparisons. This column can be used in SQL queries to easily align dates to their respective year starts or to calculate year-to-date metrics by comparing against this reference date."
Dim_Date,Last_Date_of_Year,date,NO,,,,,,,,,"The Last_Date_of_Year column in Dim_Date contains the final calendar date (December 31st) for each year represented in the date dimension. This column is useful for year-end calculations and reporting, allowing queries to easily identify or filter for year-end dates without complex date manipulation functions."
Dim_Date,Is_Weekday,bit(1),NO,,,,,,,1.0,,"The Is_Weekday column in Dim_Date is a binary flag (1 or 0) that indicates whether a given calendar date falls on a weekday (Monday through Friday) or weekend (Saturday and Sunday). This column is commonly used in SQL queries to filter or analyze business metrics specifically for weekdays or weekends, making it valuable for business-day analysis and reporting."
Dim_Date,Is_Business_Day,bit(1),NO,,,,,,,1.0,,"The Is_Business_Day column in Dim_Date is a binary flag (1 or 0) indicating whether a given calendar date is a business day (1) or not (0). This column is commonly used in WHERE clauses or aggregations to filter or analyze data specifically for business days, excluding weekends and holidays."
Dim_Date,Is_Leap_Year,bit(1),NO,,,,,,,1.0,,"The Is_Leap_Year column is a binary flag (1 or 0) in the Dim_Date table that indicates whether a given date falls within a leap year. This column is useful for date calculations and filtering dates specifically in leap years, and can be used in WHERE clauses or JOIN conditions when analyzing data that needs to account for leap year variations."
Dim_Date,Days_in_Month,tinyint,NO,,,,,,,3.0,0.0,"The Days_in_Month column in the Dim_Date table stores the total number of days in each month (e.g., 31 for January, 28/29 for February) as a small integer value. This column is commonly used in date-based calculations and reporting to accurately determine month lengths, particularly useful when calculating daily averages or performing month-end analysis."
Dim_Date,Next_Business_Day,date,NO,,,,,,,,,"The Next_Business_Day column in the Dim_Date table stores the date of the next working day (excluding weekends and holidays) for each calendar date. This column is particularly useful in financial and business analytics queries where calculations need to account for business day logic, and can be used in JOIN operations or WHERE clauses to analyze data based on business day sequences."
XParams,name,char(128),NO,PRI,,,,,128.0,,,"The 'name' column in the XParams table serves as the primary key and stores unique parameter names or configuration keys as fixed-length character strings (128 characters). When querying this table, use the 'name' column to look up specific system parameters or to join with other tables that reference these configuration settings."
XParams,value,longblob,YES,,,,,,4294967295.0,,,"The 'value' column in the XParams table stores large binary objects (BLOB) that can contain serialized configuration values, binary data, or extended parameter content of any size. This column is nullable and works in conjunction with a corresponding key to form key-value pairs for system configuration, allowing for flexible storage of various data types and formats that may be needed for application settings."
ZZZ_fix_bb_20250124,inventory_date,date,NO,,,,,,,,,"The inventory_date column in the temporary fix table ZZZ_fix_bb_20250124 stores the date when inventory records were taken or modified, and it requires a valid date value (cannot be null). When querying this temporary fix table, use this column to filter or join inventory-related data based on specific dates, keeping in mind that this table is likely part of a temporary solution for January 24, 2025 fixes."
ZZZ_fix_bb_20250124,product_id,int,NO,,,,,,,10.0,0.0,"The product_id column in the temporary fix table ZZZ_fix_bb_20250124 is a required integer field that uniquely identifies products affected by this fix or patch. When querying this table, use product_id to join with other product-related tables or to filter specific products that were part of the January 24, 2025 fix."
ZZZ_fix_bb_20250124,name,varchar(255),YES,,,,,,255.0,,,"The 'name' column in the temporary fix table ZZZ_fix_bb_20250124 stores character strings up to 255 characters in length and allows NULL values. When querying this column, keep in mind that it's part of a temporary fix table created for January 24, 2025, so any data stored here is likely transitional and may be moved or removed once the fix is completed."
ZZZ_fix_bb_20250124,price_sunday,"decimal(7,2)",NO,,,0.00,,,,7.0,2.0,"The price_sunday column stores the decimal price value (with 2 decimal places and up to 7 total digits) specifically for Sunday pricing in this temporary fix table. Since it's non-nullable and has a default of 0.00, it always contains a value, making it reliable for calculations and comparisons in queries where Sunday-specific pricing is needed."
ZZZ_fix_bb_20250124,price_monday,"decimal(7,2)",NO,,,0.00,,,,7.0,2.0,"The price_monday column stores Monday pricing values as decimal numbers with 5 digits before the decimal point and 2 digits after (e.g., 12345.67), and cannot contain NULL values. As part of a temporary fix table, this column likely contains corrected or updated Monday price values that were problematic in the main system, with a default value of 0.00."
ZZZ_fix_bb_20250124,inventory_id_monday,int,NO,MUL,,0,,,,10.0,0.0,"The inventory_id_monday column is a non-nullable integer field that serves as a secondary index (MUL) in this temporary fix table, likely storing inventory identifiers specifically for Monday-related data points. When querying this column, it's important to note that while it's indexed for performance, it's part of a temporary fix table (as indicated by the ZZZ prefix) and should be used cautiously as the table may be deprecated after January 24, 2025."
ZZZ_issue_juice_gift,user_id,int,NO,MUL,,,,,,10.0,0.0,"The user_id column in the ZZZ_issue_juice_gift table is a required integer field that serves as a foreign key (indicated by MUL key type) to identify the customer or recipient who received a juice-related gift or promotional item. When querying this table, use this column to join with other user-related tables or to filter/group gift distribution records by specific recipients."
ZZZ_issue_juice_gift,order_details_id,int,NO,MUL,,0,,,,10.0,0.0,"The order_details_id column in the ZZZ_issue_juice_gift table serves as a foreign key that links each juice gift record to its corresponding order details. When writing queries, this column can be used to join with the main order details table to access additional information about the gift order, and since it's non-nullable, every gift record must have an associated order detail."
ZZZ_issue_juice_gift,order_id,int,NO,MUL,,0,,,,10.0,0.0,"The order_id column in the ZZZ_issue_juice_gift table serves as a reference identifier for tracking specific juice gift orders or promotional items, and it's indexed (MUL) to optimize query performance. Since it's non-nullable, every gift record must have an associated order_id, making it reliable for JOIN operations and WHERE clause filtering when querying order-related information."
ZZZ_issue_juice_gift,delivery_date,date,NO,,,,,,,,,"The delivery_date column in the ZZZ_issue_juice_gift table stores the date when a juice-related gift or promotional item was delivered to the recipient. As a required (non-nullable) date field, it can be used in SQL queries for filtering, sorting, or grouping gift deliveries by date, such as finding all gifts delivered within a specific date range or analyzing delivery patterns over time."
ZZZ_issue_juice_gift,status,tinyint,YES,MUL,,0,,,,3.0,0.0,"The 'status' column in the ZZZ_issue_juice_gift table is a tinyint field that likely represents the current state of a juice gift or promotional item (e.g., pending, issued, redeemed, expired). As indicated by the MUL key type, this column is part of a multi-column index, suggesting it's commonly used in combination with other columns for filtering or joining operations in queries."
ZZZ_issue_juice_gift,product_id,int,YES,,,,,,,10.0,0.0,"The product_id column in the ZZZ_issue_juice_gift table stores integer identifiers that reference specific juice products or promotional items being gifted. When writing queries, this column can be used to filter or join with other product-related tables to access detailed information about the gifted juice items."
ZZZ_issue_juice_gift,coupon_id,int,YES,,,,,,,10.0,0.0,"The coupon_id column in the ZZZ_issue_juice_gift table stores integer values that uniquely identify promotional coupons or gift vouchers associated with juice-related promotions. When querying this table, you can use coupon_id to join with other coupon-related tables or to filter/group promotional items, though note that the field is nullable which means some records might not have an associated coupon."
ZZZ_issue_juice_gift_to_contact,user_id,int,NO,MUL,,,,,,10.0,0.0,"The user_id column in the ZZZ_issue_juice_gift_to_contact table is a required integer field that identifies the user who issued or recorded the juice gift transaction. When writing queries, this column can be used to join with other user-related tables (as indicated by the MUL key type) and to filter or group juice gift records by the issuing user."
ZZZ_issue_juice_gift_to_contact,order_details_id,int,NO,,,0,,,,10.0,0.0,The order_details_id column is a required integer field that likely references specific order details associated with each juice gift transaction. This column can be used in SQL queries to join with related order detail tables or to filter/group juice gift records based on their associated order information.
ZZZ_issue_juice_gift_to_contact,order_id,int,NO,MUL,,0,,,,10.0,0.0,"The order_id column is a non-nullable integer field that serves as a foreign key reference in the ZZZ_issue_juice_gift_to_contact table, likely linking to a primary order record in another table. When querying this table, you can use order_id to join with related order tables or to filter/group juice gift records associated with specific orders."
ZZZ_issue_juice_gift_to_contact,delivery_date,date,NO,,,,,,,,,"The delivery_date column stores the date when a juice gift was or will be delivered to a contact, and it must always have a value (non-nullable). When writing SQL queries, use this column to filter or analyze juice gift deliveries by date, such as finding gifts delivered on specific dates or within date ranges."
ZZZ_issue_juice_gift_to_contact,status,tinyint,YES,,,0,,,,3.0,0.0,"The 'status' column in the ZZZ_issue_juice_gift_to_contact table is a tinyint field that likely indicates the current state of a juice gift record (e.g., pending, completed, cancelled). When querying this column, you can use numeric comparisons to filter records based on their status values, though you should refer to the application's documentation for specific status code meanings since they aren't explicitly defined in the schema."
ZZZ_issue_juice_gift_to_contact,product_id,int,YES,,,,,,,10.0,0.0,"The product_id column in the ZZZ_issue_juice_gift_to_contact table is an integer field that identifies which specific juice product was given as a gift to a contact. When querying this table, you can use this column to join with a products table or filter gift records by specific juice products, though note that the field is nullable which means some gift records might not have an associated product."
ZZZ_issue_juice_gift_to_contact,coupon_id,int,YES,,,,,,,10.0,0.0,"The coupon_id column in the ZZZ_issue_juice_gift_to_contact table stores integer values that likely reference specific coupon or promotional codes associated with juice gifts. When querying this column, it can be used to join with other coupon-related tables or to filter/group juice gift records based on their associated promotional offers, though the nullable property means some gift records might not have an associated coupon."
ZZZ_reactivated_from_waitlist,ZZZ_reactivated_from_waitlist_had_subscription_id,int,NO,PRI,auto_increment,,,,,10.0,0.0,"This column serves as the primary key in the ZZZ_reactivated_from_waitlist table and stores the subscription ID that a customer previously held before being placed on the waitlist. When querying this table, use this column to uniquely identify reactivation records or join with other subscription-related tables to track a customer's subscription history through the waitlist process."
ZZZ_reactivated_from_waitlist,user_id,int,NO,,,,,,,10.0,0.0,"The user_id column in the ZZZ_reactivated_from_waitlist table is a required integer field that uniquely identifies customers who have been reactivated from a waitlist status. When querying this table, use this column to join with other customer-related tables or to filter specific reactivated customers, noting that NULL values are not allowed in this field."
ZZZ_reactivated_from_waitlist,created_at,datetime,NO,,DEFAULT_GENERATED,CURRENT_TIMESTAMP,,,,,,"The created_at column in the ZZZ_reactivated_from_waitlist table automatically records the timestamp when a waitlisted customer is reactivated, using CURRENT_TIMESTAMP as the default value. When querying this column, it can be used to analyze reactivation patterns over time or filter records based on when customers were moved off the waitlist."
ZZZ_remaining_buffer,prepbasket_buffer_id,int,NO,,,0,,,,10.0,0.0,"The prepbasket_buffer_id column serves as a numeric identifier in the ZZZ_remaining_buffer temporary table, storing integer values that cannot be null. This column likely acts as a reference or tracking number for buffered preparation basket data, enabling the system to manage and process temporary overflow information in a structured manner."
ZZZ_remaining_buffer,order_id,int,NO,MUL,,,,,,10.0,0.0,"The order_id column in the ZZZ_remaining_buffer table is a non-nullable integer field that serves as a reference key (indicated by MUL key type) to track orders within this temporary storage table. When querying this table, order_id can be used for joining with other order-related tables or filtering specific orders, though keep in mind this is temporary buffer storage as indicated by the ZZZ_ prefix."
ZZZ_remaining_buffer,product_id,int,NO,,,,,,,10.0,0.0,"The product_id column in the ZZZ_remaining_buffer table is a required integer field that serves as a reference to identify specific products within this temporary storage table. This column can be used in SQL queries to track or process product-related data that's being temporarily held, and since it's non-nullable, every record must have a valid product identifier."
ZZZ_remaining_buffer,quantity,int,NO,,,,,,,10.0,0.0,"The 'quantity' column in the ZZZ_remaining_buffer table is a required integer field that likely tracks the number of items or units remaining in a temporary buffer storage. When writing SQL queries, this column can be used for numerical calculations or filtering conditions, and since it's non-nullable, you don't need to handle NULL cases in your queries."
ZZZ_remaining_buffer,box,smallint,NO,,,,,,,5.0,0.0,"The 'box' column in the ZZZ_remaining_buffer table is a required (non-nullable) smallint field that likely represents a box identifier or counter in a temporary storage context. When querying this column, use integer comparisons and aggregations, keeping in mind that smallint typically allows values between -32,768 and 32,767."
ZZZ_remaining_buffer,weight,int,NO,,,,,,,10.0,0.0,"The 'weight' column in the ZZZ_remaining_buffer table is a required integer field that likely represents a numerical weight or quantity value in the temporary buffer storage. This column can be used in SQL queries for calculations, sorting, or filtering temporary data based on weight values, and since it's non-nullable, it will always contain a value."
ZZZ_remaining_buffer,route,int,NO,,,,,,,10.0,0.0,"The 'route' column in the ZZZ_remaining_buffer table is a required integer field that likely represents a route identifier or sequence number in this temporary storage table. When querying this column, you can use it for numerical comparisons or joins, and since it's non-nullable, you don't need to handle NULL cases in your queries."
ZZZ_tour,user_id,int,NO,,,,,,,10.0,0.0,"The user_id column in the ZZZ_tour table is a required integer field that identifies the user associated with a tour record. Since it's a non-nullable field, any SQL queries involving this table must provide a valid user_id value when inserting records, and it can be reliably used in WHERE clauses or JOIN conditions without needing to check for NULL values."
ab_absence_details,ab_absence_detail_id,int,NO,PRI,auto_increment,,,,,10.0,0.0,"The ab_absence_detail_id column serves as the primary key in the ab_absence_details table, uniquely identifying each absence record with a non-nullable integer value. This column should be used when joining to related tables or when specifically querying for individual absence records, and it automatically ensures each absence entry can be distinctly referenced."
ab_absence_details,ab_absence_request_id,int,NO,,,,,,,10.0,0.0,The ab_absence_request_id column in the ab_absence_details table serves as a unique identifier for each absence request record. This required integer field can be used in WHERE clauses to look up specific absence records or in JOIN operations to connect with related absence data across other tables.
ab_absence_details,ab_absence_type_id,int,NO,,,,,,,10.0,0.0,"The ab_absence_type_id column in the ab_absence_details table is a required integer field that categorizes the type of employee absence (such as sick leave, vacation, or personal time). When writing queries, this column can be used to filter or group absences by their type, making it useful for analyzing patterns in employee time off or generating reports by absence category."
ab_absence_details,ab_hour_type_id,int,NO,,,,,,,10.0,0.0,"The ab_hour_type_id column in the ab_absence_details table is a required integer field that specifies the type or category of hours being recorded for an employee's absence (such as sick time, vacation, or personal leave). When querying absence records, this column can be used to filter or group absences by their hour classification type, making it useful for analyzing different categories of time off."
ab_absence_details,hr_form_id,int,NO,,,,,,,10.0,0.0,The hr_form_id column in the ab_absence_details table is a required integer field that likely references an internal HR form or document associated with each employee absence record. This column can be used in SQL queries to join with related HR form tables or to filter/group absence records based on their associated form documentation.
ab_absence_details,hr_form_question_id,int,NO,,,,,,,10.0,0.0,"The hr_form_question_id column in the ab_absence_details table is a required integer field that likely references specific questions from HR absence-related forms. When writing queries, this column can be used to link absence records with their corresponding HR form questions, enabling analysis of responses to specific absence-related inquiries."
ab_absence_details,vacation_date,date,NO,,,,,,,,,"The vacation_date column in the ab_absence_details table stores the specific date when an employee was absent, using a standard date format. This required field (non-nullable) is essential for tracking when absences occur and should be used in queries when filtering or analyzing absence patterns by date."
ab_absence_details,status,tinyint,NO,,,,,,,3.0,0.0,"The 'status' column in the ab_absence_details table is a required (non-nullable) tinyint field that likely represents the current state of an employee's absence record using numeric codes (e.g., 1 for pending, 2 for approved, 3 for rejected). When querying this table, the status column can be used to filter or group absence records based on their current state, making it useful for tracking the approval workflow of absence requests."
ab_absence_details,processed_status,int,NO,,,0,,,,10.0,0.0,"The processed_status column in ab_absence_details is a required integer field that indicates whether and how an employee's absence record has been processed by HR or the system. When writing queries, this column can be used to filter or group absence records based on their processing state (e.g., WHERE processed_status = 0 for unprocessed records), with the default value being 0."
ab_absence_details,reviewed_by,int,YES,,,,,,,10.0,0.0,"The ""reviewed_by"" column in the ab_absence_details table stores the employee ID (as an integer) of the person who reviewed the absence record, typically a supervisor or HR staff member. This column being nullable indicates that not all absence records may have been reviewed yet, making it useful for filtering records that need review or tracking who has approved specific absences."
ab_absence_details,is_weekend,tinyint,YES,,,,,,,3.0,0.0,"The `is_weekend` column in the `ab_absence_details` table is a boolean flag (stored as tinyint) that indicates whether the recorded absence occurred on a weekend (1) or weekday (0). This column can be useful for filtering or analyzing absence patterns specifically related to weekend occurrences, and being nullable suggests that some absence records may not have this weekend status explicitly defined."
ab_absence_details,created_at,datetime,YES,,DEFAULT_GENERATED,CURRENT_TIMESTAMP,,,,,,"The created_at column in the ab_absence_details table records the timestamp when each absence record was initially created in the system, automatically populated with CURRENT_TIMESTAMP. This datetime field is useful for tracking when absence records were entered and can be used in SQL queries for auditing purposes or filtering/sorting absence records by their creation date."
ab_absence_details,updated_at,datetime,YES,,,,,,,,,"The updated_at column in the ab_absence_details table records the timestamp of when an absence record was last modified, storing this information in a datetime format. This column is commonly used in WHERE clauses to filter for recently updated absence records or in ORDER BY clauses to sort records by their last modification date, making it useful for tracking changes and maintaining an audit trail of absence record updates."
ab_absence_details,created_by,int,YES,,,,,,,10.0,0.0,"The created_by column in the ab_absence_details table stores the employee ID (as an integer) of the person who created or recorded the absence entry. This column can be used to track who entered the absence information into the system, which is useful for audit trails and accountability, and can be joined with an employees table to get the creator's details."
ab_absence_details,updated_by,int,YES,,,,,,,10.0,0.0,The `updated_by` column in the `ab_absence_details` table stores the employee ID (as an integer) of the person who last modified the absence record. This column helps track who made changes to absence records and can be used in queries to join with an employees table to get details about who updated specific absence entries.
ab_absence_details,is_st_holiday,tinyint,YES,,,,,,,3.0,0.0,"The `is_st_holiday` column in the `ab_absence_details` table is a boolean flag (stored as tinyint) indicating whether an employee's absence is due to a statutory holiday. When querying this column, use values 1 (true) or 0 (false) to filter absences that are or aren't statutory holidays, and since it's nullable, consider handling NULL values appropriately in your conditions."
ab_absence_details,is_office_st_holiday,tinyint,YES,,,,,,,3.0,0.0,"The `is_office_st_holiday` column in the `ab_absence_details` table is a boolean flag (stored as tinyint) that indicates whether an employee's absence coincides with an official state/statutory holiday at their office location. When querying absence records, you can use this column to filter or analyze absences that occur on state holidays (value = 1) versus regular working days (value = 0), which is useful for HR reporting and attendance pattern analysis."
ab_absence_details,is_multiple,tinyint(1),NO,,,0,,,,3.0,0.0,"The `is_multiple` column in the `ab_absence_details` table is a boolean flag (stored as tinyint(1)) that indicates whether an absence record spans multiple days or dates. When querying this column, use 1 to filter for multiple-day absences and 0 for single-day absences, as in `WHERE is_multiple = 1` to find all multi-day absence records."
ab_absence_documents,ab_absence_document_id,int,NO,PRI,auto_increment,,,,,10.0,0.0,"The ab_absence_document_id column serves as the primary key identifier for each document or attachment record in the ab_absence_documents table. When writing SQL queries, use this column to uniquely identify specific absence-related documents, join with related tables, or filter document records (e.g., WHERE ab_absence_document_id = 123)."
ab_absence_documents,ab_absence_request_id,int,NO,,,,,,,10.0,0.0,"The ab_absence_request_id column in the ab_absence_documents table serves as a reference to link documents with their corresponding absence requests. This mandatory integer field should be used in JOIN operations to connect absence-related documents with their parent absence request records, enabling queries to retrieve all documents associated with a specific leave request."
ab_absence_documents,ab_absence_type_id,int,NO,,,,,,,10.0,0.0,"The ab_absence_type_id column in the ab_absence_documents table is a required integer field that links each document to a specific type of absence (such as sick leave, vacation, or medical leave). When querying this table, you can use this column to filter or group documents by their associated absence type, or join with an absence types reference table to get detailed information about the type of leave the document supports."
ab_absence_documents,hr_form_id,int,NO,,,,,,,10.0,0.0,"The hr_form_id column in the ab_absence_documents table is a required integer field that likely serves as a reference to a specific HR form template or form instance associated with an absence document. When querying this table, use this column to join with related HR form tables or to filter documents based on specific form types."
