<<<<<<< HEAD
Source Table,Source Column,Target Table,Target Column,UPDATE_RULE,DELETE_RULE,Is_Required
cart_parking_location_activity,cart_parking_location_id,cart_parking_location,cart_parking_location_id,RESTRICT,RESTRICT,NO
cart_parking_location_activity,task_id,task,task_id,RESTRICT,RESTRICT,NO
cleaning_violation,cleaning_violation_type_id,cleaning_violation_type,cleaning_violation_type_id,RESTRICT,RESTRICT,NO
community_bee_welcome_messages_lang,community_bee_welcome_message_id,community_bee_welcome_messages,id,CASCADE,CASCADE,NO
community_event_email_templates,community_events_id,community_events,community_events_id,NO ACTION,NO ACTION,YES
community_event_email_templates,email_schedule_id,email_schedule,email_schedule_id,NO ACTION,NO ACTION,YES
community_event_email_templates,email_template_id,email_template,email_template_id,NO ACTION,NO ACTION,YES
community_event_email_templates,scheduled_events_id,scheduled_events,scheduled_events_id,NO ACTION,NO ACTION,YES
community_event_sub_types,community_events_id,community_events,community_events_id,NO ACTION,NO ACTION,NO
community_events_attachments,community_events_id,community_events,community_events_id,NO ACTION,NO ACTION,YES
community_events_attachments,scheduled_events_id,scheduled_events,scheduled_events_id,NO ACTION,NO ACTION,YES
community_events_availability,community_events_id,community_events,community_events_id,NO ACTION,NO ACTION,NO
community_events_contacts_tags,community_institution_contacts_id,community_institution_contacts,community_institution_contacts_id,NO ACTION,NO ACTION,NO
community_events_email_logs,destination_user_id,users,user_id,NO ACTION,NO ACTION,NO
community_events_email_logs,email_template_id,email_template,email_template_id,NO ACTION,NO ACTION,NO
community_events_email_logs,created_by,users,user_id,NO ACTION,NO ACTION,NO
community_events_faq,community_events_id,community_events,community_events_id,NO ACTION,NO ACTION,NO
community_events_guests,scheduled_events_id,scheduled_events,scheduled_events_id,NO ACTION,NO ACTION,YES
community_events_guests,transaction_id,transactions,transaction_id,NO ACTION,NO ACTION,YES
community_events_guests,user_id,users,user_id,NO ACTION,NO ACTION,YES
community_events_lang,community_events_id,community_events,community_events_id,NO ACTION,NO ACTION,NO
community_events_media,community_events_id,community_events,community_events_id,NO ACTION,NO ACTION,NO
community_events_testimonials,community_events_id,community_events,community_events_id,NO ACTION,NO ACTION,NO
community_events_testimonials,community_institution_id,community_institutions,community_institution_id,NO ACTION,NO ACTION,YES
community_events_waitlist,community_events_id,community_events,community_events_id,NO ACTION,NO ACTION,NO
community_events_waitlist,user_id,users,user_id,NO ACTION,NO ACTION,NO
community_institution_contacts,community_institution_id,community_institutions,community_institution_id,NO ACTION,NO ACTION,YES
community_institution_contacts,user_id,users,user_id,NO ACTION,NO ACTION,NO
community_institution_scheduled_contacts,community_institution_contacts_id,community_institution_contacts,community_institution_contacts_id,NO ACTION,NO ACTION,YES
community_institution_scheduled_contacts,scheduled_event_id,scheduled_events,scheduled_events_id,NO ACTION,NO ACTION,YES
community_messages,author_id,users,user_id,CASCADE,RESTRICT,NO
community_representative_group_details,community_representative_group_id,community_representative_group,community_representative_group_id,RESTRICT,RESTRICT,NO
community_representative_group_details,user_id,users,user_id,RESTRICT,RESTRICT,NO
companiesLang,company_id,companies,company_id,RESTRICT,RESTRICT,NO
contract,company_id,companies,company_id,RESTRICT,RESTRICT,NO
coupons,product_id,products,product_id,RESTRICT,RESTRICT,YES
coupons,child_coupon_id,coupons,coupon_id,RESTRICT,RESTRICT,YES
coupons_droppoints,coupon_id,coupons,coupon_id,RESTRICT,RESTRICT,NO
coupons_droppoints,droppoint_id,droppoints,droppoint_id,RESTRICT,RESTRICT,NO
custom_rule,contract_id,contract,contract_id,RESTRICT,RESTRICT,NO
daily_vehicle_capacity,daily_vehicle_setting_id,daily_vehicle_setting,daily_vehicle_setting_id,NO ACTION,NO ACTION,NO
daily_vehicle_capacity,capacity_type_id,capacity_types,capacity_type_id,NO ACTION,NO ACTION,NO
daily_vehicle_setting,vehicle_id,ww_vehicles,vehicle_id,NO ACTION,NO ACTION,NO
daily_vehicle_skill,daily_vehicle_setting_id,daily_vehicle_setting,daily_vehicle_setting_id,NO ACTION,NO ACTION,NO
daily_vehicle_skill,skill_type_id,skill_types,skill_type_id,NO ACTION,NO ACTION,NO
daily_vehicle_time_window,daily_vehicle_setting_id,daily_vehicle_setting,daily_vehicle_setting_id,NO ACTION,NO ACTION,NO
department_shifts,department_id,temp_departments,department_id,NO ACTION,NO ACTION,NO
department_shifts_days,department_shift_id,department_shifts,department_shift_id,NO ACTION,NO ACTION,NO
department_shifts_lang,department_shift_id,department_shifts,department_shift_id,NO ACTION,NO ACTION,NO
department_teams,department_id,temp_departments,department_id,NO ACTION,NO ACTION,NO
disabled_subcategories,subcategory_id,productSubCategories,subcategory_id,CASCADE,CASCADE,NO
disabled_subcategories,user_id,users,user_id,CASCADE,CASCADE,NO
driver_break,route_id,ww_routes,route_id,NO ACTION,NO ACTION,YES
driver_break,user_id,users,user_id,NO ACTION,NO ACTION,YES
driver_notes,driver_id,users,user_id,RESTRICT,RESTRICT,YES
drop_instances_marketplaces_capacity,drop_instance_id,drop_instance,drop_instance_id,RESTRICT,RESTRICT,NO
dropinstance_transfer_users,dropinstance_transfer_id,dropinstance_transfer,transfer_id,RESTRICT,RESTRICT,NO
dropinstance_transfer_users,subscription_id,subscriptions,subscription_id,RESTRICT,RESTRICT,NO
droppoint_applications,pup_coordinator_id,users,user_id,RESTRICT,RESTRICT,NO
droppoint_applications,approved_by,users,user_id,RESTRICT,RESTRICT,YES
droppoint_groupLang,droppoint_group_id,droppoint_group,droppoint_group_id,RESTRICT,RESTRICT,YES
droppoint_zipcode_region,droppoint_id,droppoints,droppoint_id,RESTRICT,RESTRICT,NO
droppoint_zipcode_region,zipcode_region_id,zipcode_region,zipcode_region_id,RESTRICT,RESTRICT,NO
droppoints,droppoints_basket_id,baskets,basket_id,NO ACTION,NO ACTION,NO
droppoints,primary_contact_id,users,user_id,RESTRICT,RESTRICT,YES
droppoints,hd_product_id,products,product_id,RESTRICT,RESTRICT,YES
droppoints,territory_id,ww_territories,id,RESTRICT,RESTRICT,YES
droppoints_coordinators,user_id,users,user_id,RESTRICT,RESTRICT,NO
email_recipients,email_campaigns_id,email_campaigns,email_campaign_id,NO ACTION,NO ACTION,YES
email_schedule,email_template_id,email_template,email_template_id,CASCADE,CASCADE,NO
email_schedule,email_recipients_id,email_recipients,email_recipients_id,CASCADE,CASCADE,NO
email_template,email_campaigns_id,email_campaigns,email_campaign_id,NO ACTION,NO ACTION,YES
email_template_auth,email_template_id,email_template,email_template_id,RESTRICT,RESTRICT,NO
employee_daily_stats,root_scheduling_id,root_scheduling,id,RESTRICT,RESTRICT,YES
employee_daily_stats,user_id,users,user_id,RESTRICT,RESTRICT,NO
employee_daily_stats_types,employee_daily_stats_id,employee_daily_stats,employee_daily_stats_id,RESTRICT,RESTRICT,YES
employee_daily_stats_types,task_type_defaults_id,task_type_defaults,task_type_id,RESTRICT,RESTRICT,YES
employee_training,employee_id,users,user_id,RESTRICT,RESTRICT,NO
employee_training,task_id,task,task_id,RESTRICT,RESTRICT,YES
employee_training,task_type_defaults_id,task_type_defaults,task_type_id,RESTRICT,RESTRICT,NO
employee_warnings,employee_id,users,user_id,RESTRICT,RESTRICT,NO
employee_warnings,manager_id,users,user_id,RESTRICT,RESTRICT,NO
euf_exclude_transactions,transaction_id,transactions,transaction_id,RESTRICT,RESTRICT,NO
face_encodings,user_id,users,user_id,RESTRICT,RESTRICT,NO
family_featured_texts,marketplace_family_id,marketplace_families,marketplace_family_id,RESTRICT,RESTRICT,NO
family_featured_texts_lang,family_featured_id,family_featured_texts,family_featured_id,RESTRICT,RESTRICT,NO
favorites,user_id,users,user_id,CASCADE,CASCADE,NO
favorites,product_id,products,product_id,CASCADE,CASCADE,NO
identification_verification,staff_id,users,user_id,RESTRICT,RESTRICT,NO
identification_verification,user_id,users,user_id,RESTRICT,RESTRICT,NO
institution_event_requests,community_events_id,community_events,community_events_id,NO ACTION,NO ACTION,NO
institution_event_requests,community_institution_id,community_institutions,community_institution_id,NO ACTION,NO ACTION,YES
institution_event_requests,scheduled_events_id,scheduled_events,scheduled_events_id,NO ACTION,NO ACTION,YES
institution_event_requests,user_id_sent_by,users,user_id,NO ACTION,NO ACTION,NO
inventory,tower_confirmed_by,users,user_id,NO ACTION,NO ACTION,YES
inventory,origin_lot_id,inventory,lot_id,NO ACTION,NO ACTION,YES
inventory_activity,task_type_inventorycheck_id,task_type_inventorycheck,task_type_inventorycheck_id,RESTRICT,RESTRICT,YES
inventory_activity_typesLang,inventory_activity_type_id,inventory_activity_types,inventory_activity_type_id,CASCADE,CASCADE,NO
inventory_check_action_clean,task_type_inventorycheck_id,task_type_inventorycheck,task_type_inventorycheck_id,RESTRICT,RESTRICT,NO
inventory_check_action_clean,task_type_inventorycheck_id,task_type_inventorycheck,task_type_inventorycheck_id,RESTRICT,RESTRICT,NO
inventory_check_action_discount,task_type_inventorycheck_id,task_type_inventorycheck,task_type_inventorycheck_id,RESTRICT,RESTRICT,NO
inventory_check_action_expiration,task_type_inventorycheck_id,task_type_inventorycheck,task_type_inventorycheck_id,RESTRICT,RESTRICT,NO
inventory_check_action_lotportioned,task_type_inventorycheck_id,task_type_inventorycheck,task_type_inventorycheck_id,RESTRICT,RESTRICT,NO
inventory_check_action_recount,task_type_inventorycheck_id,task_type_inventorycheck,task_type_inventorycheck_id,RESTRICT,RESTRICT,NO
inventory_check_action_relocate,task_type_inventorycheck_id,task_type_inventorycheck,task_type_inventorycheck_id,RESTRICT,RESTRICT,NO
inventory_check_action_relocate,new_loc,location_header,location_header_id,RESTRICT,RESTRICT,NO
inventory_check_action_relocate,old_loc,location_header,location_header_id,RESTRICT,RESTRICT,NO
inventory_check_comments,task_type_inventorycheck_id,task_type_inventorycheck,task_type_inventorycheck_id,RESTRICT,RESTRICT,NO
inventory_check_comments,created_by,users,user_id,RESTRICT,RESTRICT,NO
inventory_discount,created_by,users,user_id,RESTRICT,RESTRICT,NO
inventory_discount,lot_id,inventory,lot_id,RESTRICT,RESTRICT,NO
inventory_status,product_id,products,product_id,CASCADE,CASCADE,NO
load_basket_route_info,ww_route_id,ww_routes,route_id,RESTRICT,RESTRICT,YES
lock_comments,given_by,users,user_id,RESTRICT,RESTRICT,NO
lock_comments,given_to,users,user_id,RESTRICT,RESTRICT,NO
lock_comments,reason,lock_reasons,lock_type_id,RESTRICT,RESTRICT,YES
lock_comments,unlocked_by,users,user_id,RESTRICT,RESTRICT,YES
manual_hours,employee_id,users,user_id,RESTRICT,RESTRICT,NO
manual_hours,manager_id,users,user_id,RESTRICT,RESTRICT,NO
manual_hours,stat_holiday_id,stat_holiday,stat_holiday_id,RESTRICT,RESTRICT,YES
marketing_custom_urls,marketing_campaign_referral_id,marketing_campaign_referrals,marketing_campaign_referral_id,NO ACTION,NO ACTION,NO
marketing_user_notes,customer_id,users,user_id,NO ACTION,NO ACTION,NO
marketing_user_notes,user_id,users,user_id,NO ACTION,NO ACTION,NO
marketplace_product_tag,marketplace_product_tag_product_id,products,product_id,NO ACTION,NO ACTION,NO
memcached,basket_designer_locked_by,users,user_id,CASCADE,CASCADE,YES
menuLang,menu_id,menu,menu_id,RESTRICT,RESTRICT,NO
menu_itemsLang,menu_item_id,menu_items,menu_item_id,RESTRICT,RESTRICT,NO
mkt_contentLang,mkt_content_id,mkt_content,mkt_content_id,RESTRICT,RESTRICT,NO
model_fields,mf_subcategory_id,model_fields_subcategories,mf_subcategory_id,RESTRICT,RESTRICT,YES
mp_in_meal_members,mp_meal_id,mp_in_meals,mp_meal_id,NO ACTION,CASCADE,NO
mp_in_meal_members,mp_member_id,mp_in_members,mp_member_id,NO ACTION,CASCADE,NO
mp_in_meals,user_id,users,user_id,NO ACTION,NO ACTION,NO
mp_in_members,user_id,users,user_id,NO ACTION,NO ACTION,NO
mp_meal_plans,order_id,orders,order_id,NO ACTION,NO ACTION,NO
multiplier_comments,bonus_multiplier_id,bonus_multipliers,bonus_multiplier_id,RESTRICT,RESTRICT,NO
notification_messages,email_recipients_id,email_recipients,email_recipients_id,NO ACTION,NO ACTION,NO
notification_messages_lang,notification_messages_id,notification_messages,notification_messages_id,NO ACTION,NO ACTION,NO
oncall_calendar,on_call_user,users,user_id,NO ACTION,NO ACTION,NO
options,question_id,questions,id,CASCADE,CASCADE,NO
options,reason_id,cancelation_reasons,id,CASCADE,SET NULL,YES
options_lang,option_id,options,id,CASCADE,CASCADE,YES
orders,drop_instance_id,drop_instance,drop_instance_id,RESTRICT,RESTRICT,YES
orders,company_id_associated,companies,company_id,NO ACTION,NO ACTION,YES
payment_logging,user_id,users,user_id,RESTRICT,RESTRICT,NO
permission_log,staff_id,users,user_id,NO ACTION,NO ACTION,NO
permission_log_departments,permission_log_id,permission_log,permission_log_id,NO ACTION,NO ACTION,NO
permission_log_departments,department_id,temp_departments,department_id,NO ACTION,NO ACTION,NO
permission_log_departments,new_parent_department_id,temp_departments,department_id,NO ACTION,NO ACTION,YES
permission_log_departments,old_parent_department_id,temp_departments,department_id,NO ACTION,NO ACTION,YES
permission_log_role_permissions,permission_log_id,permission_log,permission_log_id,NO ACTION,NO ACTION,NO
permission_log_role_permissions,role_id_with_changed_permission,roles,role_id,NO ACTION,NO ACTION,NO
permission_log_roles,permission_log_id,permission_log,permission_log_id,NO ACTION,NO ACTION,NO
permission_log_roles,new_parent_role_id,roles,role_id,NO ACTION,NO ACTION,YES
permission_log_roles,old_parent_role_id,roles,role_id,NO ACTION,NO ACTION,YES
permission_log_roles,role_id_changed,roles,role_id,NO ACTION,NO ACTION,NO
permission_log_user_roles,permission_log_id,permission_log,permission_log_id,NO ACTION,NO ACTION,NO
permission_log_user_roles,employee_id,users,user_id,NO ACTION,NO ACTION,NO
permission_log_user_roles,new_role_id,roles,role_id,NO ACTION,NO ACTION,YES
permission_log_user_roles,old_role_id,roles,role_id,NO ACTION,NO ACTION,YES
portioning_packaging_lang,portioning_packaging_id,portioning_packaging,portioning_packaging_id,NO ACTION,NO ACTION,NO
portioning_speed_group_lang,portioning_speed_group_id,portioning_speed_group,portioning_speed_group_id,NO ACTION,NO ACTION,NO
portioning_workstation_activity,task_id,task,task_id,RESTRICT,RESTRICT,NO
portioning_workstation_activity,station_id,portioning_workstation,station_id,RESTRICT,RESTRICT,YES
prepbasket_buffer,lbri_id,load_basket_route_info,route_info_id,RESTRICT,RESTRICT,YES
prepbasket_buffer,order_id,orders,order_id,RESTRICT,RESTRICT,NO
prepbasket_buffer,product_id,products,product_id,RESTRICT,RESTRICT,NO
price_scraper_data,psd_psl_id,price_scraper_list,psl_id,NO ACTION,NO ACTION,NO
price_scraper_list,psl_product_id,products,product_id,NO ACTION,NO ACTION,NO
product_attributes,product_id,products,product_id,CASCADE,CASCADE,NO
product_attributes_lang,product_attribute_id,product_attributes,product_attribute_id,CASCADE,CASCADE,NO
product_delivery_days,product_id,products,product_id,CASCADE,CASCADE,NO
product_discount_reasonsLang,product_discount_reason_id,product_discount_reasons,product_discount_reason_id,RESTRICT,RESTRICT,YES
product_group_relations,parent_id,products,product_id,CASCADE,CASCADE,NO
product_group_relations,child_id,products,product_id,CASCADE,CASCADE,NO
product_sales,created_by,users,user_id,RESTRICT,RESTRICT,NO
product_sales,product_id,products,product_id,RESTRICT,RESTRICT,NO
product_stats,product_id,products,product_id,RESTRICT,RESTRICT,YES
products,manipulation_instructions_packer,pap_handling_instructions,handling_instruction_id,RESTRICT,RESTRICT,NO
products,portioning_packaging_id,portioning_packaging,portioning_packaging_id,NO ACTION,NO ACTION,YES
products,portioning_speed_group_id,portioning_speed_group,portioning_speed_group_id,NO ACTION,NO ACTION,NO
products,tote_format_id,tote_formats,tote_format_id,NO ACTION,NO ACTION,YES
productsLang,product_id,products,product_id,CASCADE,CASCADE,NO
products_nutritional_values,product_id,products,product_id,NO ACTION,NO ACTION,NO
products_nutritional_values_generated_by_ai,product_id,products,product_id,NO ACTION,NO ACTION,NO
pup_snapshots,droppoint_id,droppoints,droppoint_id,NO ACTION,NO ACTION,NO
questions,category_id,question_categories,id,CASCADE,CASCADE,YES
questions_lang,question_id,questions,id,CASCADE,CASCADE,YES
ratings,order_id,orders,order_id,RESTRICT,RESTRICT,YES
ratings,ww_step_id,ww_steps,step_id,RESTRICT,RESTRICT,YES
ratings,rating_feedback_type_id,rating_feedback_type,rating_feedback_type_id,RESTRICT,RESTRICT,YES
reports_log,staff_id,users,user_id,RESTRICT,RESTRICT,YES
response_options,option_id,options,id,CASCADE,CASCADE,NO
roles,department_id,temp_departments,department_id,NO ACTION,NO ACTION,NO
root_employee_role_request,employee_id,users,user_id,RESTRICT,RESTRICT,NO
root_employee_role_request,task_type_defaults_id,task_type_defaults,task_type_id,RESTRICT,RESTRICT,NO
root_message,recipient_id,users,user_id,RESTRICT,RESTRICT,NO
root_message,sender_id,users,user_id,RESTRICT,RESTRICT,NO
root_scheduling,employee_id,users,user_id,RESTRICT,RESTRICT,NO
route_details,route_id,routes,route_id,CASCADE,CASCADE,NO
route_details,droppoint_id,droppoints,droppoint_id,CASCADE,CASCADE,NO
route_details,driver_id,users,user_id,CASCADE,CASCADE,YES
routing_jobs,drop_instance_id,drop_instance,drop_instance_id,NO ACTION,NO ACTION,YES
routing_jobs,order_id,orders,order_id,NO ACTION,NO ACTION,YES
routing_jobs,routing_simulation_id,routing_simulations,routing_simulation_id,NO ACTION,NO ACTION,YES
routing_jobs,routing_simulation_route_id,routing_simulation_routes,routing_simulation_route_id,NO ACTION,NO ACTION,YES
routing_simulation_routes,routing_simulation_id,routing_simulations,routing_simulation_id,NO ACTION,NO ACTION,NO
routing_simulation_stops,routing_job_id,routing_jobs,routing_job_id,NO ACTION,NO ACTION,NO
rpc_group_activity,rpc_shipment_request_id,rpc_shipment_request,rpc_shipment_request_id,NO ACTION,NO ACTION,YES
rpc_group_activity,supplier_id,suppliers,supplier_id,NO ACTION,NO ACTION,YES
rpc_group_activity,tote_format_id,tote_formats,tote_format_id,NO ACTION,NO ACTION,YES
rpc_group_activity,user_id,users,user_id,NO ACTION,NO ACTION,YES
rpc_group_activity,supplier_pallet_per_delivery_id,supplier_pallet_per_delivery,supplier_pallet_per_delivery_id,NO ACTION,NO ACTION,YES
rpc_invoices,supplier_id,suppliers,supplier_id,NO ACTION,NO ACTION,NO
rpc_invoices,updated_by,users,user_id,NO ACTION,NO ACTION,YES
rpc_invoices_detail,rpc_invoice_id,rpc_invoices,rpc_invoice_id,NO ACTION,NO ACTION,NO
rpc_invoices_detail,rpc_type_id,tote_formats,tote_format_id,NO ACTION,NO ACTION,NO
rpc_shipment_request,supplier_id,suppliers,supplier_id,NO ACTION,NO ACTION,YES
rpc_shipment_request,tote_format_id,tote_formats,tote_format_id,NO ACTION,NO ACTION,YES
rpc_shipment_request,user_id,users,user_id,NO ACTION,NO ACTION,YES
rpc_suppliers_settings,created_by,users,user_id,NO ACTION,NO ACTION,YES
rpc_suppliers_settings,supplier_id,suppliers,supplier_id,NO ACTION,NO ACTION,YES
rpc_suppliers_settings,tote_format_id,tote_formats,tote_format_id,NO ACTION,NO ACTION,YES
rpc_suppliers_settings,updated_by,users,user_id,NO ACTION,NO ACTION,YES
scheduled_event_coordinators,scheduled_events_id,scheduled_events,scheduled_events_id,NO ACTION,NO ACTION,NO
scheduled_event_coordinators,user_id,users,user_id,NO ACTION,NO ACTION,NO
scheduled_events,community_events_id,community_events,community_events_id,NO ACTION,NO ACTION,YES
scheduled_events,community_event_subtype_id,community_event_sub_types,community_event_subtype_id,NO ACTION,NO ACTION,YES
scheduled_events,community_institution_id,community_institutions,community_institution_id,NO ACTION,NO ACTION,YES
scheduled_events,scheduled_event_drafts_id,scheduled_event_drafts,scheduled_event_drafts_id,NO ACTION,NO ACTION,YES
scheduled_events_lang,scheduled_events_id,scheduled_events,scheduled_events_id,NO ACTION,NO ACTION,NO
scheduled_sfid_logs,scheduled_sfid_id,scheduled_sfids,scheduled_sfid_id,NO ACTION,NO ACTION,NO
scheduled_sfid_logs,scheduled_sfid_log_created_by,users,user_id,NO ACTION,NO ACTION,NO
scheduled_sfids,scheduled_sfid_product_id,products,product_id,NO ACTION,NO ACTION,NO
scheduled_sfids,scheduled_sfid_created_by,users,user_id,NO ACTION,NO ACTION,NO
sfid_challenges,supplier_forecast_orders_id,supplier_forecast_orders,supplier_forecast_orders_id,NO ACTION,NO ACTION,NO
sfid_challenges,challenged_by,users,user_id,NO ACTION,NO ACTION,NO
sfid_challenges,response_by,users,user_id,NO ACTION,NO ACTION,YES
sfid_quantity_change_log,user_id,users,user_id,RESTRICT,RESTRICT,NO
sfid_quantity_change_log,supplier_forecast_orders_id,supplier_forecast_orders,supplier_forecast_orders_id,RESTRICT,RESTRICT,NO
slow_routing_day,created_by,users,user_id,NO ACTION,NO ACTION,NO
stat_holiday,applied_by,users,user_id,RESTRICT,RESTRICT,YES
stat_holiday,created_by,users,user_id,RESTRICT,RESTRICT,NO
stat_holiday,reverted_by,users,user_id,RESTRICT,RESTRICT,YES
submissions_logs,product_id,products,product_id,RESTRICT,RESTRICT,NO
submissions_logs,created_by,users,user_id,RESTRICT,RESTRICT,NO
submissions_steps,submissions_log_id,submissions_logs,submissions_log_id,RESTRICT,RESTRICT,NO
submissions_steps,user_id,users,user_id,RESTRICT,RESTRICT,YES
supplier_certifications_rl,supplier_id,suppliers,supplier_id,CASCADE,CASCADE,NO
supplier_certifications_rl,supplier_certification_id,supplier_certifications,supplier_certification_id,CASCADE,CASCADE,NO
supplier_confirmation_and_shipping_dates_patterns,supplier_id,suppliers,supplier_id,RESTRICT,RESTRICT,NO
supplier_contacts,supplier_id,suppliers,supplier_id,RESTRICT,RESTRICT,NO
supplier_delivery_days,supplier_id,suppliers,supplier_id,CASCADE,CASCADE,NO
supplier_forecast_order_reception_errors,creator_id,users,user_id,NO ACTION,NO ACTION,NO
supplier_forecast_order_reception_errors,supplier_forecast_orders_id,supplier_forecast_orders,supplier_forecast_orders_id,NO ACTION,NO ACTION,NO
supplier_forecast_orders,product_id,products,product_id,RESTRICT,RESTRICT,NO
supplier_users,supplier_id,suppliers,supplier_id,RESTRICT,RESTRICT,NO
supplier_users,user_id,users,user_id,RESTRICT,RESTRICT,NO
supplier_vacations,created_by,users,user_id,NO ACTION,NO ACTION,NO
supplier_vacations,supplier_id,suppliers,supplier_id,NO ACTION,NO ACTION,NO
suppliersLang,supplier_id,suppliers,supplier_id,CASCADE,CASCADE,NO
suppliers_rpc,supplier_id,suppliers,supplier_id,NO ACTION,NO ACTION,NO
support_issue_comments,staff_id,users,user_id,RESTRICT,RESTRICT,NO
support_issue_comments,support_issue_id,support_issues,support_issue_id,RESTRICT,RESTRICT,NO
support_issues,user_id,users,user_id,RESTRICT,RESTRICT,NO
survey_question_categories,survey_id,survey,survey_id,CASCADE,CASCADE,NO
survey_question_categories,category_id,question_categories,id,CASCADE,CASCADE,NO
task,task_type_defaults_id,task_type_defaults,task_type_id,RESTRICT,RESTRICT,NO
task_comment,task_id,task,task_id,RESTRICT,RESTRICT,NO
task_condensing_lots,new_location_header_id,location_header,location_header_id,RESTRICT,RESTRICT,YES
task_condensing_lots,lot_id,inventory,lot_id,RESTRICT,RESTRICT,NO
task_condensing_lots,task_type_condensing_id,task_type_condensing,task_type_condensing_id,RESTRICT,RESTRICT,NO
task_logging,primary_task_type_id,task_type_defaults,task_type_id,RESTRICT,RESTRICT,NO
task_logging,child_task_type_id,task_type_defaults,task_type_id,RESTRICT,RESTRICT,NO
task_parent_child,child_id,task,task_id,RESTRICT,RESTRICT,NO
task_parent_child,parent_id,task,task_id,RESTRICT,RESTRICT,NO
task_speed_week,task_type_defaults_id,task_type_defaults,task_type_id,RESTRICT,RESTRICT,NO
task_stats,user_id,users,user_id,RESTRICT,RESTRICT,NO
task_stats,task_id,task,task_id,RESTRICT,RESTRICT,NO
task_stats,employee_daily_stats_id,employee_daily_stats,employee_daily_stats_id,RESTRICT,RESTRICT,YES
task_type_cleaning,task_id,task,task_id,RESTRICT,RESTRICT,NO
task_type_cleaning,task_id,task,task_id,RESTRICT,RESTRICT,NO
task_type_condensing,task_id,task,task_id,RESTRICT,RESTRICT,NO
task_type_condensing,location_header_id,location_header,location_header_id,RESTRICT,RESTRICT,YES
task_type_general_dc,closed_by,users,user_id,RESTRICT,RESTRICT,YES
task_type_general_dc,task_id,task,task_id,RESTRICT,RESTRICT,NO
task_type_inventory_adjustment,lot_id,inventory,lot_id,RESTRICT,RESTRICT,YES
task_type_inventory_adjustment,task_id,task,task_id,RESTRICT,RESTRICT,NO
task_type_inventory_adjustment,inventory_activity_id,inventory_activity,inventory_activity_id,RESTRICT,RESTRICT,YES
task_type_inventorycheck,put_away_history_id,put_away_history,put_away_history_id,RESTRICT,RESTRICT,YES
task_type_inventorycheck,blocked_by,users,user_id,RESTRICT,RESTRICT,YES
task_type_inventorycheck,created_by,users,user_id,RESTRICT,RESTRICT,NO
task_type_inventorycheck,lot_id,inventory,lot_id,RESTRICT,RESTRICT,NO
task_type_inventorycheck,task_id,task,task_id,RESTRICT,RESTRICT,NO
task_type_inventorycheck_lot_verification,inventory_activity_id,inventory_activity,inventory_activity_id,RESTRICT,RESTRICT,YES
